scenario,year,B,C,I,E,sense,slack,horizon,h2prod,imports,system_cost,obj_bound_dual,h2price,h2value,co2seq,dac,captured_co2,elec_cap,elec_cf,total_onwind,total_offwind,total_solar,total_nuclear,total_h2_storage
1987abaa,1987,a,b,a,a,max,0.05,2045,40.181761197162565,214.59462703996113,1040664902564.3678,0.0,72.2091241365363,87503524161.58165,399999999.718081,165700970.02051955,587.4497300789069,379667.29672281817,0.627690123806041,915596.5380511447,604236.1327186215,2275791.039828019,31807.900356292284,3971121.784634955
1987abaa,1987,a,b,a,a,min,0.1,2045,18.87518344980448,344.0979702644016,1029671874856.4374,,90.00658973501154,52477213830.613045,400000000.000141,107153386.4312151,472.98956784741,149621.99590007873,0.7348196627991904,1071316.6411522932,500698.73549993197,2015734.7360941356,49458.084745515975,2225389.5566982566
1987abaa,1987,a,b,a,a,max,0.1,2045,55.96880547108998,6.249850209287085e-06,1107439710103.0222,0.0,60.65387433818919,105070262371.044,345260732.4843383,160873164.93195125,592.1331400574034,500826.05493066716,0.6658627694072501,979366.0893066416,688405.1491840708,2621810.257265881,31807.900295000476,4474069.348457843
1987abaa,1987,a,b,a,a,min,0.02,2050,15.784058965406313,368.88173555312636,909013286931.2944,,66.93401711153926,31669025553.39713,544932820.0635648,173405986.60011965,575.8152360612594,185174.38371819712,0.49668127221117986,1027392.1082710724,453173.9948795971,1826590.7619925102,31807.900098049922,4679382.57262794
1987abaa,1987,a,b,a,a,max,0.02,2050,34.830173808104405,277.6596699491287,931386629607.6112,-28.003301512887244,1.807903566230269,1912446932.5330565,549999999.4972966,190376788.2891649,675.2255653980176,267364.1322509729,0.7655871798272776,839700.8193896405,533093.4630117734,2160959.593649054,31807.902184041417,3971995.3562750365
1987abaa,1987,a,b,a,a,min,0.05,2050,15.819409939930821,346.80270492339105,928418627539.6395,,66.72681777654181,31662338764.542236,520430998.65115166,160426291.7359209,550.531044144792,166214.2502926513,0.5543793650992572,1049331.4145417784,471772.17333585734,1966338.0133701584,31813.092933225427,4691227.982924007
1987abaa,1987,a,b,a,a,max,0.05,2050,43.71223791000636,143.31278442564627,962974958182.5374,-25.393977912755044,1.574540825490268,2146988189.0839975,529720380.99724495,192921062.2063607,678.7931744644676,327543.287305078,0.7829992826862904,866991.9046371011,594984.4937848469,2313529.311544883,31807.900142757444,4048986.546004422
1987abaa,1987,a,b,a,a,min,0.1,2050,16.37922724673246,230.30461080230316,953550533234.318,,67.12238004870977,33164806299.616104,528412975.6817939,152634841.3566596,548.3660166005437,149621.9959000787,0.6376509279691229,1021076.2350683371,486749.4364689515,1987968.973976335,49458.08469748791,2503098.525781187
1987abaa,1987,a,b,a,a,max,0.1,2050,59.27883844901636,16.890239846521826,1015050841853.0061,-24.5587820717426,1.4821943866770182,2790065853.9717827,448795861.8784033,189196013.10253015,675.4146298469831,435177.67991940223,0.7925247936751632,930761.4570342832,680017.9589170448,2601677.0467301724,31807.900301200905,4512912.610785503
1987acaa,1987,a,c,a,a,min,0.02,2025,-0.0,1.1559315684158783e-09,991646208048.4471,,61.251731474141664,-0.0,0.0,18.37601945578394,7.154825438658146,0.0,,387522.45802181365,62254.12130195896,407104.41376198124,99790.10567145726,6.943121108029072
1987acaa,1987,a,c,a,a,max,0.02,2025,3.8331280961640024,1.5187295397847325e-06,1006414682254.3689,-14.330790554011777,0.8722737877455304,108767734.34033854,-14.94790429440757,0.3480506546939629,7.154781117912139,24836.971666164183,0.9996591747869844,400958.3439717913,81734.63114058675,413871.554565894,99790.10010487237,0.11070015127235912
1987acaa,1987,a,c,a,a,min,0.05,2025,-0.0,2.3514712060181914e-11,991641782769.5935,,61.25686562186922,-0.0,0.0,0.43286757064254755,7.154780999811901,0.0,,387519.7925640899,62254.39752619056,407107.93099859473,99790.10013718103,0.16252208201887847
1987acaa,1987,a,c,a,a,max,0.05,2025,9.17257750468272,3.363142893732258e-07,1028724367330.1833,-12.843887879441834,0.6581363185297797,187084895.40248987,-47.50248311986016,0.11463748386564264,7.154780556685401,59426.57349301081,0.9997881053998041,417751.58616953896,107718.53413978752,421055.8127521237,99790.10003510048,0.036366940779195764
1987acaa,1987,a,c,a,a,min,0.1,2025,-0.0,1.8279888238417586e-09,992639844353.8176,,61.26112837650655,-0.0,0.0,48.26298581045506,7.15490264139167,0.0,,387519.5425513748,62254.37890344829,407107.1629661828,99790.11104071829,17.33577887882561
1987acaa,1987,a,c,a,a,max,0.1,2025,17.10003594584239,2.3445845749620956e-08,1065907175789.5175,-11.871506300508972,0.5092384696959895,269190090.34859097,-13.056136950111831,0.015719855546368396,49.36671161876463,110797.23482318007,0.9996900437055254,455758.4523388732,133646.47965848586,438257.92749551096,99790.10000455806,0.005675091095098003
1987acaa,1987,a,c,a,a,min,0.02,2030,-0.0,1.5035682356228708e-10,956767306436.9631,,79.51448085067638,-0.0,100000000.00031014,3.3174903043511565,107.15478898766574,0.0,,559083.6491465654,199183.49394453914,701942.849449439,76584.00094447038,3797.552464237183
1987acaa,1987,a,c,a,a,max,0.02,2030,4.683242116466552,2.8396552190023297e-06,972428765516.0348,-17.045863748055382,1.2335908175370212,181673070.88880265,99999999.99745806,0.33179021063444747,107.15478120223521,32166.488719456214,0.9298722042500682,564056.1415589999,226571.84660447616,720957.9714319825,76584.00011402996,18332.62685583946
1987acaa,1987,a,c,a,a,min,0.05,2030,-0.0,7.155652338249059e-12,956756277924.0941,,79.50920018518623,-0.0,100000000.00000526,0.05721819873001021,107.15478009279231,0.0,,559084.2914569305,199184.41926053664,701939.1903932951,76584.0000214905,3796.747449370642
1987acaa,1987,a,c,a,a,max,0.05,2030,10.439078090554924,7.035935522682077e-07,995900846350.4048,-15.306760597556563,0.9037199853424573,303893686.8646467,99999999.98923491,0.09903052061825968,130.33253885102192,68071.55632555834,0.9859672821214264,577330.3144095253,258124.30903419218,738386.1759535635,76584.0000374662,57271.74824856504
1987acaa,1987,a,c,a,a,min,0.1,2030,-0.0,1.5741734159464282e-09,956772342591.3271,,79.53246182467664,-0.0,100000000.00346787,37.2855281586027,107.15488211584115,0.0,,559081.1516888512,199182.43023952193,701949.8134497349,76584.01069099881,3845.0679820061923
1987acaa,1987,a,c,a,a,max,0.1,2030,18.961834498766002,2.8771761626479777e-07,1035112449381.1068,-14.46922829593364,0.809985589343441,502258312.7141092,99999999.9995384,0.04380940632467379,184.0672339913875,124115.69473716196,0.9833827966004044,596295.3669092025,304040.73559745844,766700.9935854514,76584.00001605443,47259.47250685002
1987acaa,1987,a,c,a,a,min,0.02,2035,-0.0,2.410962389732775e-09,889255767827.5667,,130.94911328506052,-0.0,300000000.0030725,51.401198534994705,307.15480977053255,0.0,,761647.0221773485,330511.04974881664,1044424.9819906205,40121.30925345511,62142.98774660137
1987acaa,1987,a,c,a,a,max,0.02,2035,8.383425990273617,7.1958746904680595,902311251379.5942,-19.495056624409642,1.525854334716983,381579822.20414406,300000000.003822,0.4428754002859234,307.1547813635593,65760.362467791,0.7844568745549046,695509.9755577146,356843.8101778942,1153097.570139328,40121.30012167876,1075680.0660626418
1987acaa,1987,a,c,a,a,min,0.05,2035,-0.0,3.4648173312263954e-11,889464935008.3538,,130.95210693430354,-0.0,300000000.00007,1.1969119646707065,307.15478070414775,0.0,,761647.7353438003,330514.83850102406,1044415.8279802052,40121.30021625262,62112.996113445195
1987acaa,1987,a,c,a,a,max,0.05,2035,14.558561272155021,1.0046445967070646e-06,925879103615.6531,-16.165758995339363,1.0647524639588783,465827277.7740792,299999999.98690695,0.15350659273484218,337.4938850407521,113368.85476382576,0.798248190639147,687551.2765903313,399689.76336999546,1192746.080214769,40121.300036862674,1261499.1807586185
